,ite_item_title,item_pair,score_similarida
0,tênis olympikus esporte valente - masculino kids,tenis polo ralph lauren modelo cantor low branco masculino,0.3333333333333333
1,bicicleta barra forte samy c/ 6 marchas cubo c/ rolamento,bicicleta caloi andes aro 26 21v,0.14285714285714285
2,tênis usthemp slip-on temático - labrador 2,tenis polo ralph lauren modelo cantor low branco masculino,0.16666666666666666
3,tênis casual feminino moleca tecido tie dye,tenis polo ralph lauren modelo cantor low branco masculino,0.14285714285714285
4,tênis star baby sapatinho conforto + brinde,tenis polo ralph lauren modelo cantor low branco masculino,0.16666666666666666
5,tênis oakley frequency 3.0 preto/marrom,tenis polo ralph lauren modelo cantor low branco masculino,0.2
6,tênis jogging feminino premium super lançamento vizzano,tenis polo ralph lauren modelo cantor low branco masculino,0.14285714285714285
7,under armour hovr phantom 2 conexão bluetooth tênis running,tenis polo ralph lauren modelo cantor low branco masculino,0.125
8,tenis infantil feminino menina criança moça,tenis polo ralph lauren modelo cantor low branco masculino,0.16666666666666666
9,tênis labellamafia saturn 6 cores disponíveis,tenis polo ralph lauren modelo cantor low branco masculino,0.2
10,tênis feminino infantil cano alto estrela coração glitter,tenis polo ralph lauren modelo cantor low branco masculino,0.125
11,tênis masculino sport academia/caminhada esporte azul,tenis polo ralph lauren modelo cantor low branco masculino,0.2857142857142857
12,sapatilhas sapatos esportivos sapatos casuais homem running,tenis under armour charged rebel running original 1magnus,0.14285714285714285
13,tenis ous emergente copper essencial,tenis polo ralph lauren modelo cantor low branco masculino,0.2
14,1879202 tênis ramarim de amarrar,tenis polo ralph lauren modelo cantor low branco masculino,0.2
15,sapatênis couro legítimo forrado em couro solado costurado,sapatenis casual masculino estiloso 24horas conforto qualida,0.125
16,tenis feminino casual chunky vizzano dad sneaker tratorado,tenis polo ralph lauren modelo cantor low branco masculino,0.125
17,tênis fila d-formation - feminino,tenis polo ralph lauren modelo cantor low branco masculino,0.25
18,tênis infantil pé com pé masculino calce fácil azul menino,tenis polo ralph lauren modelo cantor low branco masculino,0.2
19,tênis feminino luana têxtil malu super comfort azul marinho,tenis polo ralph lauren modelo cantor low branco masculino,0.1111111111111111
20,versão coreana da tendência dos sapatos casuais de sola maci,tenis feminino fila recovery de corrida caminhada treino nfe,0.1
21,tenis feminino academia caminhada crossfit corrida,tenis polo ralph lauren modelo cantor low branco masculino,0.16666666666666666
22,tênis skechers m go walk evolution ultra,tenis polo ralph lauren modelo cantor low branco masculino,0.16666666666666666
23,tênis wilson open vermelho e preto,tenis polo ralph lauren modelo cantor low branco masculino,0.2
24,tenis nike shox r4 branco/preto e dourado nº41 original!!!!,tenis polo ralph lauren modelo cantor low branco masculino,0.2222222222222222
25,tênis adidas pro n3xt 2021 envio imediato,tenis polo ralph lauren modelo cantor low branco masculino,0.14285714285714285
26,oferta tenis caminhada + carteira + cinto kit frete grátis ,tenis polo ralph lauren modelo cantor low branco masculino,0.125
27,tênis menina vorax preto rose,tenis polo ralph lauren modelo cantor low branco masculino,0.2
28,tênis puma suede crush studs original,tenis polo ralph lauren modelo cantor low branco masculino,0.16666666666666666
29,tênis esportivo unissex aquático marnegro casual trilha,tenis polo ralph lauren modelo cantor low branco masculino,0.14285714285714285
30,tênis anacapri cinza detalhes bege e azul #332,tenis polo ralph lauren modelo cantor low branco masculino,0.14285714285714285
